disc_acc,epoch,grl_alpha,loss_cls,loss_domain,loss_total,progress,step,wall_time_s
0.6577381151063102,3,0.3263359677941513,0.1098638131682362,0.6402864711625236,0.7501502803393773,0.0688,420,44.2
0.6437500163912773,3,0.3387480134294051,0.21204353678040205,0.6481074571609498,0.8601509898900985,0.0721,440,45.9
0.6062500268220902,3,0.35320451144012166,0.2665514897555113,0.6815587311983109,0.9481102138757705,0.0754,460,47.5
0.5552083522081375,3,0.3674942825521622,0.13507981090806426,0.6779366374015808,0.8130164474248887,0.0787,480,49.2
0.6552083522081376,3,0.3816126219850341,0.2048758483491838,0.6384245246648789,0.8433003664016724,0.082,500,51.0
0.6604166895151138,3,0.39555511978652225,0.21493940539658069,0.623591136932373,0.8385305434465409,0.0852,520,52.7
0.5895833536982537,3,0.4093176624056456,0.2316044608131051,0.6695737808942794,0.9011782467365265,0.0885,540,54.3
0.6218750178813934,3,0.42289643332349175,0.18878920953720807,0.6503488093614578,0.8391380250453949,0.0918,560,56.0
0.6458333492279053,3,0.43628791277242085,0.198712080065161,0.6259758457541466,0.8246879249811172,0.0951,580,57.7
0.6364583566784858,3,0.4494888765779814,0.2067303653806448,0.6448272109031677,0.8515575677156448,0.0984,600,59.4
0.5814394138076089,4,0.4654018665411446,0.09959021337669004,0.6722743998874318,0.7718646147034385,0.1017,620,62.7
0.6406250208616256,4,0.475307825742785,0.3006185503676534,0.6476980596780777,0.9483166128396988,0.1049,640,64.3
0.6270833492279053,4,0.48792081879026766,0.15067851184867323,0.6419759869575501,0.7926544964313507,0.1082,660,66.1
0.6364583551883698,4,0.5003333037573822,0.1755594762507826,0.663779354095459,0.8393388360738754,0.1115,680,67.8
0.6177083522081375,4,0.5125434891590015,0.16428749496117234,0.6616454780101776,0.8259329676628113,0.1148,700,69.4
0.6187500178813934,4,0.5245498560323731,0.1491908488795161,0.6799205243587494,0.8291113704442978,0.1181,720,71.1
0.6406250178813935,4,0.536351151833207,0.1293446476571262,0.6563407987356186,0.7856854498386383,0.1214,740,72.8
0.6041666880249977,4,0.5479463838165402,0.15954088196158409,0.6566658109426499,0.8162066876888275,0.1247,760,74.4
0.5645833536982536,4,0.5593348119523158,0.16226925225928426,0.7238632321357727,0.8861324787139893,0.1279,780,76.1
0.5687500163912773,4,0.5705159414254038,0.15725529645569622,0.683221983909607,0.8404772788286209,0.1312,800,77.7
0.5598958507180214,5,0.5847483683212864,0.3275489122606814,0.6550720706582069,0.9826209992170334,0.1345,820,81.0
0.5437500149011611,5,0.5922555036815209,0.15503369914367796,0.7131104648113251,0.8681441634893418,0.1378,840,82.7
0.5739583507180214,5,0.6028141005690031,0.12012164955958723,0.6777737617492676,0.7978954017162323,0.1411,860,84.3
0.5093750134110451,5,0.6131657098677045,0.08817727403948084,0.7020070642232895,0.7901843369007111,0.1444,880,86.0
0.5625000193715095,5,0.6233109391825344,0.13878111073281615,0.667168328166008,0.8059494465589523,0.1476,900,87.6
0.5645833507180213,5,0.6332505902892354,0.175130183249712,0.6863969087600708,0.8615270972251892,0.1509,920,89.3
0.5614583551883697,5,0.6429856500393427,0.10577168278396129,0.6753169983625412,0.7810886830091477,0.1542,940,90.9
0.5895833551883698,5,0.6525172812069387,0.0601170762674883,0.6729491174221038,0.733066201210022,0.1575,960,92.6
0.6385416865348816,5,0.6618468133138483,0.04492219641106203,0.6772976905107498,0.7222198814153671,0.1608,980,94.3
0.6406250178813935,5,0.6709757334677305,0.08997419450897723,0.6873913168907165,0.7773655086755753,0.1641,1000,96.0
0.6333333611488342,6,0.6832111419922647,0.08103309620637447,0.6802492618560791,0.7612823724746705,0.1674,1020,99.1
0.6145833492279053,6,0.688638419650314,0.06279663492459804,0.6731837779283524,0.735980412364006,0.1706,1040,100.8
0.6656250208616257,6,0.6971758661747508,0.05853449950227514,0.6347888022661209,0.6933232963085174,0.1739,1060,102.5
0.6260416865348816,6,0.7055200439871157,0.11746817871462553,0.6281409680843353,0.7456091403961181,0.1772,1080,104.1
